phase mean FPC1 FPC2 FPC3 FPC4
12.6 0.762398 0.146529 0.219609 -0.026301 0.128842
12.7 0.772304 0.147461 0.219306 -0.028111 0.126203
12.8 0.782209 0.148388 0.218985 -0.029937 0.123554
12.9 0.792114 0.149316 0.218664 -0.031764 0.120905
13 0.80202 0.15021 0.218227 -0.033703 0.118194
13.1 0.812135 0.1511 0.21777 -0.035661 0.115472
13.2 0.822341 0.151989 0.217313 -0.037619 0.11275
13.3 0.832547 0.152846 0.216741 -0.039688 0.109967
13.4 0.842753 0.153697 0.216147 -0.041777 0.107172
13.5 0.85296 0.154549 0.215554 -0.043867 0.104377
13.6 0.863166 0.155369 0.214847 -0.046064 0.101522
13.7 0.873542 0.156182 0.214117 -0.048285 0.098654
13.8 0.884015 0.156995 0.213387 -0.050506 0.095786
13.9 0.894489 0.157777 0.212548 -0.052811 0.092864
14 0.904962 0.158551 0.211683 -0.055135 0.08993
14.1 0.915435 0.159326 0.210818 -0.05746 0.086996
14.2 0.925909 0.160063 0.209863 -0.059677 0.084055
14.3 0.93636 0.160791 0.208883 -0.061865 0.081113
14.4 0.946796 0.161518 0.207904 -0.064054 0.078171
14.5 0.957231 0.162208 0.206839 -0.06609 0.075234
14.6 0.967667 0.162887 0.205749 -0.068082 0.072298
14.7 0.978103 0.163566 0.20466 -0.070075 0.069362
14.8 0.988538 0.164208 0.203487 -0.071917 0.066431
14.9 0.998916 0.164839 0.202287 -0.073714 0.063502
15 1.009238 0.16547 0.201088 -0.07551 0.060573
15.1 1.019561 0.166064 0.199807 -0.077159 0.057649
15.2 1.029884 0.166646 0.198497 -0.078759 0.054726
15.3 1.040207 0.167227 0.197188 -0.080358 0.051803
15.4 1.05053 0.167774 0.195799 -0.081814 0.048886
15.5 1.060801 0.168307 0.19438 -0.083218 0.04597
15.6 1.071011 0.16884 0.19296 -0.084621 0.043053
15.7 1.081221 0.169339 0.191462 -0.085884 0.040142
15.8 1.091431 0.169823 0.189933 -0.087091 0.037233
15.9 1.101641 0.170308 0.188405 -0.088298 0.034323
16 1.111851 0.170759 0.186798 -0.089367 0.031418
16.1 1.122017 0.171195 0.185159 -0.090378 0.028515
16.2 1.132114 0.171631 0.183521 -0.091389 0.025612
16.3 1.142211 0.172034 0.181806 -0.092265 0.022714
16.4 1.152308 0.172421 0.180057 -0.093079 0.019818
16.5 1.162406 0.172809 0.178308 -0.093894 0.016921
16.6 1.172503 0.173163 0.176486 -0.094576 0.014029
16.7 1.182563 0.173502 0.174627 -0.095195 0.01114
16.8 1.192547 0.173841 0.172768 -0.095813 0.00825
16.9 1.202531 0.174148 0.170837 -0.096302 0.005364
17 1.212516 0.174438 0.168869 -0.096724 0.002481
17.1 1.2225 0.174729 0.1669 -0.097146 -0.000402
17.2 1.232484 0.174988 0.164861 -0.097441 -0.003281
17.3 1.242438 0.175229 0.162783 -0.097667 -0.006158
17.4 1.25231 0.175471 0.160704 -0.097893 -0.009034
17.5 1.262181 0.175682 0.158557 -0.097995 -0.011907
17.6 1.272053 0.175875 0.156368 -0.098024 -0.014777
17.7 1.281924 0.176068 0.15418 -0.098054 -0.017647
17.8 1.291796 0.176232 0.151925 -0.097964 -0.020513
17.9 1.301638 0.176377 0.149628 -0.097799 -0.023377
18 1.311367 0.176522 0.147331 -0.097634 -0.026241
18.1 1.321097 0.176654 0.145014 -0.097418 -0.029106
18.2 1.330827 0.176777 0.142684 -0.097168 -0.031972
18.3 1.340557 0.1769 0.140354 -0.096918 -0.034839
18.4 1.350287 0.17702 0.138031 -0.096658 -0.03771
18.5 1.359987 0.177137 0.135713 -0.096391 -0.040585
18.6 1.369516 0.177255 0.133396 -0.096124 -0.04346
18.7 1.379045 0.177369 0.131086 -0.095847 -0.04634
18.8 1.388574 0.177481 0.128782 -0.095563 -0.049223
18.9 1.398103 0.177593 0.126478 -0.095279 -0.052107
19 1.407632 0.177702 0.124181 -0.094985 -0.054995
19.1 1.417142 0.177808 0.121889 -0.094684 -0.057887
19.2 1.426468 0.177914 0.119598 -0.094382 -0.060779
19.3 1.435795 0.178017 0.117314 -0.094071 -0.063675
19.4 1.445121 0.178118 0.115035 -0.093753 -0.066575
19.5 1.454447 0.178219 0.112757 -0.093434 -0.069476
19.6 1.463773 0.178316 0.110486 -0.093107 -0.072381
19.7 1.473093 0.178411 0.108221 -0.092771 -0.075289
19.8 1.482217 0.178506 0.105955 -0.092435 -0.078198
19.9 1.49134 0.178598 0.103697 -0.092091 -0.081111
20 1.500463 0.178688 0.101445 -0.091738 -0.084029
20.1 1.509587 0.178777 0.099192 -0.091385 -0.086946
20.2 1.51871 0.178864 0.096947 -0.091023 -0.089867
20.3 1.527834 0.178947 0.094707 -0.090653 -0.092793
20.4 1.53676 0.179031 0.092468 -0.090283 -0.095719
20.5 1.545681 0.179112 0.090235 -0.089905 -0.098649
20.6 1.554602 0.17919 0.088009 -0.089517 -0.101583
20.7 1.563522 0.179268 0.085783 -0.08913 -0.104517
20.8 1.572443 0.179344 0.083563 -0.088735 -0.107455
20.9 1.581363 0.179417 0.08135 -0.08833 -0.110398
21 1.5901 0.179489 0.079137 -0.087926 -0.113341
21.1 1.598817 0.179559 0.076929 -0.087514 -0.116287
21.2 1.607535 0.179626 0.074729 -0.087092 -0.119239
21.3 1.616253 0.179693 0.072529 -0.08667 -0.12219
21.4 1.624971 0.179757 0.070335 -0.086241 -0.125145
21.5 1.633689 0.179818 0.068148 -0.085803 -0.128104
21.6 1.642237 0.17988 0.065961 -0.085364 -0.131064
21.7 1.650755 0.179939 0.063779 -0.084918 -0.134027
21.8 1.659273 0.179994 0.061605 -0.084462 -0.136995
21.9 1.667791 0.18005 0.059431 -0.084006 -0.139963
22 1.676309 0.180099 0.057264 -0.083545 -0.142894
22.1 1.684827 0.180139 0.055107 -0.083076 -0.145769
22.2 1.693263 0.180179 0.052951 -0.082607 -0.148643
22.3 1.701678 0.180207 0.050804 -0.082136 -0.151418
22.4 1.710092 0.180215 0.048672 -0.081662 -0.154035
22.5 1.718507 0.180223 0.046541 -0.081188 -0.156651
22.6 1.726921 0.180219 0.044418 -0.080712 -0.15917
22.7 1.735336 0.180195 0.042311 -0.080232 -0.161526
22.8 1.743709 0.18017 0.040204 -0.079753 -0.163881
22.9 1.752067 0.180135 0.038106 -0.079272 -0.166143
23 1.760424 0.180078 0.036024 -0.078787 -0.168237
23.1 1.768782 0.180022 0.033942 -0.078302 -0.170331
23.2 1.77714 0.179954 0.031869 -0.077815 -0.172336
23.3 1.785498 0.179866 0.029812 -0.077325 -0.174169
23.4 1.793818 0.179777 0.027755 -0.076835 -0.176002
23.5 1.802119 0.179678 0.025706 -0.076343 -0.17775
23.6 1.81042 0.179557 0.023674 -0.075848 -0.179322
23.7 1.818721 0.179436 0.021642 -0.075352 -0.180893
23.8 1.827022 0.179305 0.019617 -0.074855 -0.182384
23.9 1.835323 0.179152 0.01761 -0.074354 -0.183694
24 1.84359 0.178999 0.015603 -0.073853 -0.185005
24.1 1.851834 0.178837 0.013603 -0.073351 -0.186238
24.2 1.860079 0.178651 0.01162 -0.072845 -0.187288
24.3 1.868323 0.178466 0.009638 -0.072338 -0.188337
24.4 1.876567 0.178272 0.007663 -0.071831 -0.189313
24.5 1.884812 0.178054 0.005705 -0.071319 -0.190101
24.6 1.893025 0.177837 0.003748 -0.070808 -0.19089
24.7 1.901213 0.177611 0.001797 -0.070295 -0.191608
24.8 1.909401 0.177361 -0.000136 -0.069778 -0.192135
24.9 1.917588 0.177111 -0.002068 -0.069261 -0.192662
25 1.925776 0.176853 -0.003995 -0.068743 -0.193124
25.1 1.933964 0.176571 -0.005902 -0.068221 -0.19339
