phase mean FPC1 FPC2 FPC3 FPC4
12.8 0.446076 0.03341 0.17521 0.073555 0.2609
12.9 0.449387 0.03376 0.17879 0.072162 0.259985
13 0.452698 0.034095 0.182437 0.070447 0.258558
13.1 0.455813 0.034427 0.186094 0.068677 0.257043
13.2 0.458842 0.03476 0.189751 0.066907 0.255528
13.3 0.461871 0.035078 0.193474 0.06482 0.253509
13.4 0.464901 0.035393 0.197208 0.062673 0.251393
13.5 0.46793 0.035709 0.200943 0.060525 0.249278
13.6 0.470959 0.03601 0.204741 0.058066 0.246668
13.7 0.473799 0.036308 0.208553 0.055541 0.243952
13.8 0.47653 0.036606 0.212365 0.053016 0.241236
13.9 0.479262 0.036895 0.216211 0.050211 0.238068
14 0.481994 0.037183 0.220065 0.04734 0.234793
14.1 0.484725 0.03747 0.223919 0.044469 0.231518
14.2 0.487457 0.037793 0.227568 0.041539 0.228085
14.3 0.489933 0.038126 0.231164 0.038594 0.224611
14.4 0.492222 0.038459 0.23476 0.035649 0.221137
14.5 0.494511 0.038838 0.238095 0.032699 0.217579
14.6 0.496799 0.03923 0.241357 0.029749 0.213996
14.7 0.499088 0.039622 0.244619 0.026798 0.210414
14.8 0.501377 0.040059 0.247625 0.023843 0.206749
14.9 0.503419 0.040511 0.250552 0.020887 0.203058
15 0.505229 0.040963 0.25348 0.017931 0.199367
15.1 0.507039 0.041459 0.256157 0.014971 0.195595
15.2 0.508849 0.04197 0.25875 0.01201 0.191796
15.3 0.510659 0.042481 0.261343 0.009048 0.187997
15.4 0.512469 0.043036 0.263691 0.006083 0.184118
15.5 0.514062 0.043607 0.26595 0.003116 0.180211
15.6 0.515393 0.044177 0.268208 0.000149 0.176303
15.7 0.516725 0.044791 0.270227 -0.002821 0.172318
15.8 0.518057 0.045421 0.272152 -0.005794 0.168302
15.9 0.519388 0.046051 0.274076 -0.008766 0.164286
16 0.52072 0.046723 0.275765 -0.011742 0.160194
16.1 0.521863 0.047413 0.277356 -0.01472 0.15607
16.2 0.522716 0.048103 0.278946 -0.017697 0.151945
16.3 0.523569 0.048833 0.280306 -0.020679 0.147746
16.4 0.524422 0.049582 0.281562 -0.023662 0.143514
16.5 0.525275 0.050332 0.282818 -0.026645 0.139281
16.6 0.526128 0.051121 0.283849 -0.029631 0.134975
16.7 0.526821 0.05193 0.284771 -0.03262 0.130634
16.8 0.527195 0.052738 0.285692 -0.035608 0.126293
16.9 0.527569 0.053586 0.286394 -0.038601 0.121881
17 0.527943 0.054454 0.286981 -0.041594 0.117432
17.1 0.528317 0.055323 0.287569 -0.044588 0.112982
17.2 0.528691 0.056229 0.287941 -0.047586 0.108463
17.3 0.528935 0.057157 0.288194 -0.050585 0.103905
17.4 0.528831 0.058085 0.288448 -0.053584 0.099348
17.5 0.528726 0.05905 0.288491 -0.056587 0.094722
17.6 0.528622 0.060037 0.28841 -0.059592 0.090056
17.7 0.528517 0.061024 0.288329 -0.062596 0.08539
17.8 0.528413 0.062047 0.288043 -0.065604 0.080659
17.9 0.528253 0.063094 0.28763 -0.068613 0.075887
18 0.527887 0.06414 0.287216 -0.071621 0.071115
18.1 0.527521 0.065202 0.286655 -0.07459 0.066369
18.2 0.527155 0.066275 0.285997 -0.077531 0.06164
18.3 0.526789 0.067348 0.285338 -0.080472 0.056911
18.4 0.526423 0.068425 0.284568 -0.083347 0.05226
18.5 0.526085 0.069505 0.283718 -0.086176 0.047665
18.6 0.525903 0.070586 0.282869 -0.089004 0.04307
18.7 0.525721 0.07167 0.281911 -0.091769 0.038552
18.8 0.525538 0.072757 0.28087 -0.094485 0.034092
18.9 0.525356 0.073844 0.27983 -0.097201 0.029632
19 0.525174 0.074935 0.278684 -0.099855 0.025246
19.1 0.52501 0.07603 0.277453 -0.102459 0.02092
19.2 0.525026 0.077124 0.276222 -0.105063 0.016594
19.3 0.525041 0.078222 0.274888 -0.107606 0.012341
19.4 0.525057 0.079324 0.273466 -0.110097 0.008149
19.5 0.525073 0.080425 0.272044 -0.112589 0.003958
19.6 0.525088 0.08153 0.270523 -0.115021 -0.000163
19.7 0.52511 0.082639 0.26891 -0.1174 -0.00422
19.8 0.525324 0.083747 0.267297 -0.119779 -0.008277
19.9 0.525537 0.084859 0.265588 -0.122101 -0.012265
20 0.525751 0.085975 0.263784 -0.124368 -0.016187
20.1 0.525964 0.087091 0.261981 -0.126634 -0.02011
20.2 0.526178 0.08821 0.260083 -0.128845 -0.023966
20.3 0.526391 0.089332 0.258089 -0.130999 -0.027754
20.4 0.526796 0.090455 0.256095 -0.133153 -0.031541
20.5 0.527208 0.091581 0.254009 -0.135254 -0.035265
20.6 0.527619 0.092711 0.251824 -0.137295 -0.038918
20.7 0.52803 0.093841 0.249639 -0.139337 -0.042572
20.8 0.528442 0.094974 0.247366 -0.141327 -0.046163
20.9 0.528853 0.096111 0.24499 -0.143256 -0.049682
21 0.529444 0.097248 0.242614 -0.145185 -0.053201
21.1 0.530053 0.098388 0.240153 -0.147064 -0.05666
21.2 0.530662 0.099532 0.237586 -0.148881 -0.060044
21.3 0.531271 0.100676 0.235019 -0.150698 -0.063428
21.4 0.531881 0.101823 0.23237 -0.152466 -0.066755
21.5 0.53249 0.102974 0.229613 -0.154171 -0.070005
21.6 0.533265 0.104125 0.226855 -0.155875 -0.073255
21.7 0.53407 0.105279 0.224018 -0.157533 -0.076449
21.8 0.534875 0.106437 0.22107 -0.159125 -0.079564
21.9 0.53568 0.107596 0.218122 -0.160717 -0.08268
22 0.536485 0.108754 0.215123 -0.162253 -0.085741
22.1 0.53729 0.109914 0.212047 -0.163707 -0.088723
22.2 0.538203 0.111073 0.208972 -0.165161 -0.091704
22.3 0.539145 0.11223 0.205887 -0.166546 -0.094634
22.4 0.540086 0.113381 0.202788 -0.167821 -0.097482
22.5 0.541028 0.114533 0.199688 -0.169096 -0.100329
22.6 0.54197 0.115681 0.196581 -0.170304 -0.103128
22.7 0.542911 0.116825 0.193459 -0.171399 -0.105842
22.8 0.543931 0.117968 0.190337 -0.172494 -0.108556
22.9 0.54498 0.119108 0.187207 -0.173524 -0.111223
23 0.54603 0.120243 0.184063 -0.174439 -0.113804
23.1 0.547079 0.121379 0.180919 -0.175354 -0.116385
23.2 0.548128 0.122511 0.177767 -0.176207 -0.11892
23.3 0.549177 0.123638 0.1746 -0.176942 -0.121368
23.4 0.550298 0.124765 0.171434 -0.177677 -0.123815
23.5 0.551455 0.125889 0.16826 -0.178353 -0.126219
23.6 0.552612 0.127008 0.165071 -0.178908 -0.128533
23.7 0.553769 0.128127 0.161882 -0.179463 -0.130847
23.8 0.554926 0.129243 0.158686 -0.179962 -0.133119
23.9 0.556083 0.130354 0.155475 -0.180337 -0.135299
24 0.557306 0.131464 0.152264 -0.180712 -0.13748
24.1 0.55857 0.132573 0.149046 -0.181034 -0.13962
24.2 0.559835 0.133675 0.145812 -0.181229 -0.141667
24.3 0.561099 0.134777 0.142579 -0.181424 -0.143714
24.4 0.562364 0.135878 0.139339 -0.181568 -0.145723
24.5 0.563628 0.136972 0.136083 -0.181583 -0.147637
24.6 0.564952 0.138066 0.132827 -0.181598 -0.14955
24.7 0.566324 0.139158 0.129565 -0.181565 -0.151428
24.8 0.567696 0.140244 0.126287 -0.1814 -0.153208
24.9 0.569068 0.14133 0.123009 -0.181235 -0.154988
25 0.570441 0.142414 0.119725 -0.181025 -0.156734
25.1 0.571813 0.143492 0.116424 -0.18068 -0.15838
25.2 0.573237 0.14457 0.113124 -0.180335 -0.160027
25.3 0.574717 0.145646 0.109818 -0.179948 -0.161641
25.4 0.576197 0.146716 0.106495 -0.179423 -0.163154
25.5 0.577677 0.147786 0.103172 -0.178898 -0.164667
25.6 0.579157 0.148854 0.099844 -0.178333 -0.16615
25.7 0.580636 0.149915 0.096499 -0.177629 -0.16753
25.8 0.582175 0.150977 0.093153 -0.176924 -0.168909
25.9 0.583793 0.152036 0.089806 -0.176183 -0.170253
26 0.585412 0.153084 0.086453 -0.175305 -0.171458
26.1 0.58703 0.154131 0.0831 -0.174426 -0.172663
26.2 0.588649 0.155173 0.079756 -0.173519 -0.173805
26.3 0.590267 0.156186 0.076452 -0.172493 -0.174676
26.4 0.591982 0.157198 0.073147 -0.171466 -0.175548
26.5 0.593865 0.158204 0.069853 -0.170413 -0.176357
26.6 0.595748 0.15918 0.066604 -0.169241 -0.176876
26.7 0.597631 0.160155 0.063356 -0.168069 -0.177395
26.8 0.599514 0.161124 0.060116 -0.166874 -0.177857
26.9 0.601398 0.162061 0.056923 -0.165556 -0.178023
27 0.603365 0.162999 0.05373 -0.164239 -0.17819
27.1 0.605527 0.163931 0.050545 -0.1629 -0.178305
27.2 0.607689 0.164831 0.047407 -0.161437 -0.178119
27.3 0.60985 0.165731 0.04427 -0.159974 -0.177933
27.4 0.612012 0.166625 0.04114 -0.158492 -0.1777
27.5 0.614174 0.167488 0.038058 -0.156884 -0.177162
27.6 0.616403 0.16835 0.034976 -0.155276 -0.176623
27.7 0.618843 0.169208 0.0319 -0.15365 -0.176044
27.8 0.621283 0.170032 0.028874 -0.151897 -0.175153
27.9 0.623724 0.170857 0.025848 -0.150143 -0.174262
28 0.626164 0.171678 0.022827 -0.148375 -0.173335
28.1 0.628604 0.172464 0.019856 -0.146476 -0.172091
28.2 0.631095 0.173251 0.016885 -0.144577 -0.170848
28.3 0.633814 0.174035 0.013919 -0.142665 -0.169574
28.4 0.636533 0.174784 0.011004 -0.140621 -0.167978
28.5 0.639252 0.175534 0.008089 -0.138577 -0.166382
28.6 0.641971 0.17628 0.005178 -0.136522 -0.164761
28.7 0.644689 0.176992 0.002318 -0.134332 -0.162812
28.8 0.647442 0.177703 -0.000541 -0.132142 -0.160864
28.9 0.650439 0.178413 -0.003398 -0.129944 -0.158895
29 0.653437 0.179087 -0.006202 -0.127609 -0.156594
29.1 0.656434 0.179761 -0.009006 -0.125274 -0.154293
29.2 0.659432 0.180433 -0.011808 -0.122933 -0.151978
29.3 0.662429 0.181069 -0.014556 -0.120452 -0.149324
29.4 0.665443 0.181706 -0.017304 -0.117972 -0.14667
29.5 0.668719 0.182341 -0.020052 -0.115488 -0.144008
29.6 0.671995 0.18294 -0.022744 -0.112862 -0.141002
29.7 0.675271 0.183538 -0.025437 -0.110236 -0.137996
29.8 0.678547 0.184137 -0.028129 -0.107609 -0.134986
29.9 0.681823 0.184698 -0.030759 -0.104847 -0.131652
30 0.685099 0.185259 -0.033389 -0.102085 -0.128318
30.1 0.688612 0.185821 -0.036018 -0.099323 -0.124983
30.2 0.692125 0.186348 -0.038495 -0.096537 -0.121611
30.3 0.695638 0.186875 -0.04097 -0.093751 -0.118239
30.4 0.699151 0.187402 -0.043446 -0.090965 -0.114866
