phase mean FPC1 FPC2 FPC3 FPC4
25.3 0.886975 0.164833 0.040453 -0.056188 -0.244917
25.4 0.891127 0.165431 0.038663 -0.051287 -0.244749
25.5 0.89528 0.166029 0.036873 -0.046385 -0.244582
25.6 0.899432 0.166623 0.035079 -0.041466 -0.244353
25.7 0.903584 0.167199 0.033271 -0.036484 -0.243908
25.8 0.907844 0.167775 0.031464 -0.031503 -0.243464
25.9 0.912248 0.168345 0.029656 -0.026517 -0.242966
26 0.916653 0.168896 0.027846 -0.021514 -0.242256
26.1 0.921058 0.169447 0.026036 -0.016511 -0.241547
26.2 0.925463 0.16999 0.024236 -0.011548 -0.240795
26.3 0.929867 0.170503 0.022482 -0.006756 -0.239862
26.4 0.93435 0.171015 0.020727 -0.001963 -0.238929
26.5 0.938969 0.171521 0.018984 0.002787 -0.237958
26.6 0.943588 0.171994 0.017292 0.007343 -0.236806
26.7 0.948207 0.172467 0.0156 0.011898 -0.235655
26.8 0.952827 0.172933 0.013917 0.016415 -0.234468
26.9 0.957446 0.173366 0.012288 0.020734 -0.233098
27 0.962128 0.1738 0.010658 0.025052 -0.231728
27.1 0.966958 0.174227 0.009037 0.029335 -0.230326
27.2 0.971787 0.174621 0.007469 0.033416 -0.228738
27.3 0.976616 0.175014 0.005902 0.037497 -0.227149
27.4 0.981445 0.175402 0.004342 0.041547 -0.225532
27.5 0.986274 0.175756 0.002837 0.045391 -0.223725
27.6 0.991155 0.17611 0.001332 0.049235 -0.221918
27.7 0.996194 0.17646 -0.000166 0.053051 -0.220086
27.8 1.001233 0.176774 -0.001609 0.056657 -0.21806
27.9 1.006273 0.177088 -0.003052 0.060264 -0.216035
28 1.011312 0.177398 -0.004489 0.063847 -0.213987
28.1 1.016351 0.177673 -0.005869 0.067216 -0.211743
28.2 1.021429 0.177947 -0.00725 0.070585 -0.209499
28.3 1.026678 0.178219 -0.008626 0.073934 -0.207236
28.4 1.031928 0.178453 -0.009944 0.077066 -0.204774
28.5 1.037177 0.178688 -0.011262 0.080199 -0.202311
28.6 1.042427 0.17892 -0.012576 0.083314 -0.199833
28.7 1.047676 0.179116 -0.013832 0.086209 -0.197152
28.8 1.052951 0.179311 -0.015089 0.089104 -0.194471
28.9 1.058411 0.179504 -0.016341 0.091986 -0.191777
29 1.06387 0.17966 -0.017535 0.094643 -0.188878
29.1 1.06933 0.179815 -0.018729 0.097301 -0.185978
29.2 1.07479 0.179969 -0.01992 0.099949 -0.183069
29.3 1.080249 0.180085 -0.021052 0.10237 -0.179951
29.4 1.085722 0.180201 -0.022183 0.10479 -0.176833
29.5 1.091391 0.180316 -0.023313 0.107205 -0.173709
29.6 1.097061 0.180392 -0.024382 0.109388 -0.170372
29.7 1.102731 0.180468 -0.025452 0.111571 -0.167036
29.8 1.1084 0.180544 -0.02652 0.113752 -0.163697
29.9 1.11407 0.180583 -0.027524 0.1157 -0.160159
30 1.11974 0.180621 -0.028527 0.117648 -0.156621
30.1 1.125495 0.18066 -0.029531 0.119595 -0.153083
30.2 1.131251 0.180684 -0.03043 0.121326 -0.149553
30.3 1.137006 0.180708 -0.031328 0.123057 -0.146023
30.4 1.142762 0.180732 -0.032226 0.124787 -0.142492
30.5 1.148517 0.180748 -0.033008 0.12631 -0.139034
30.6 1.154273 0.180765 -0.033788 0.127829 -0.135577
30.7 1.159992 0.180781 -0.034567 0.129347 -0.132121
30.8 1.165709 0.180791 -0.035233 0.130662 -0.128735
30.9 1.171426 0.1808 -0.035895 0.131969 -0.125352
31 1.177143 0.18081 -0.036556 0.133276 -0.121969
31.1 1.18286 0.180812 -0.037106 0.134382 -0.118656
31.2 1.188576 0.180814 -0.037649 0.135477 -0.115347
31.3 1.194259 0.180816 -0.038192 0.136573 -0.112038
31.4 1.199937 0.180811 -0.038625 0.137471 -0.108798
31.5 1.205616 0.180806 -0.03905 0.138354 -0.105562
31.6 1.211294 0.180801 -0.039475 0.139238 -0.102327
31.7 1.216972 0.180789 -0.039792 0.139928 -0.099159
31.8 1.22265 0.180776 -0.040099 0.1406 -0.095997
31.9 1.228297 0.180764 -0.040406 0.141272 -0.092836
32 1.233936 0.180745 -0.040606 0.141753 -0.08974
32.1 1.239576 0.180725 -0.040794 0.142214 -0.086652
32.2 1.245215 0.180705 -0.040983 0.142675 -0.083564
32.3 1.250854 0.180678 -0.041067 0.142947 -0.080542
32.4 1.256494 0.180651 -0.041137 0.143196 -0.077527
32.5 1.262104 0.180624 -0.041207 0.143445 -0.074513
32.6 1.267705 0.180591 -0.041174 0.143509 -0.071563
32.7 1.273306 0.180556 -0.041127 0.143547 -0.068623
32.8 1.278907 0.180522 -0.041079 0.143584 -0.065682
32.9 1.284507 0.180481 -0.04093 0.14344 -0.062805
33 1.290108 0.180439 -0.040764 0.143266 -0.059938
33.1 1.295682 0.180398 -0.040598 0.143092 -0.057071
33.2 1.301244 0.18035 -0.040332 0.142739 -0.054266
33.3 1.306806 0.180301 -0.040047 0.142354 -0.051473
33.4 1.312368 0.180252 -0.039763 0.141968 -0.04868
33.5 1.31793 0.180197 -0.039381 0.141407 -0.045948
33.6 1.323493 0.18014 -0.038978 0.14081 -0.043228
33.7 1.329028 0.180084 -0.038576 0.140213 -0.040509
33.8 1.334547 0.180022 -0.038078 0.139444 -0.037849
33.9 1.340067 0.179958 -0.037557 0.138635 -0.035203
34 1.345587 0.179895 -0.037037 0.137827 -0.032557
34.1 1.351106 0.179832 -0.036481 0.136948 -0.029939
34.2 1.356626 0.17977 -0.035917 0.13605 -0.027327
