phase mean FPC1 FPC2 FPC3 FPC4
14.9 0.771437 -0.089889 -0.249619 0.075438 0.11572
15 0.775634 -0.091145 -0.249916 0.077471 0.109245
15.1 0.779832 -0.092402 -0.250213 0.079503 0.10277
15.2 0.78403 -0.093657 -0.250383 0.081454 0.096317
15.3 0.788172 -0.094911 -0.250509 0.083376 0.089872
15.4 0.792251 -0.096163 -0.250594 0.085269 0.083445
15.5 0.796331 -0.097409 -0.250544 0.087059 0.077076
15.6 0.80041 -0.098654 -0.250495 0.08885 0.070708
15.7 0.80449 -0.099893 -0.250319 0.090546 0.064395
15.8 0.808536 -0.10113 -0.250094 0.092205 0.058103
15.9 0.812537 -0.102366 -0.249832 0.093837 0.051828
16 0.816538 -0.103594 -0.249431 0.095364 0.045613
16.1 0.82054 -0.104822 -0.24903 0.096891 0.039398
16.2 0.824541 -0.106045 -0.248508 0.098327 0.033237
16.3 0.828513 -0.107265 -0.247931 0.099723 0.027099
16.4 0.832435 -0.108483 -0.247323 0.101094 0.020975
16.5 0.836358 -0.109694 -0.246571 0.102358 0.014913
16.6 0.840281 -0.110905 -0.245819 0.103621 0.008852
16.7 0.844204 -0.112111 -0.24495 0.104797 0.002842
16.8 0.848101 -0.113313 -0.244022 0.105928 -0.003142
16.9 0.851945 -0.114515 -0.243067 0.10704 -0.009115
17 0.85579 -0.115709 -0.241964 0.10804 -0.015022
17.1 0.859634 -0.116903 -0.24086 0.10904 -0.02093
17.2 0.863478 -0.118092 -0.239644 0.109955 -0.026788
17.3 0.867301 -0.119277 -0.238365 0.110823 -0.032619
17.4 0.871067 -0.120461 -0.237063 0.111674 -0.03844
17.5 0.874833 -0.121638 -0.235609 0.11241 -0.044194
17.6 0.878599 -0.122815 -0.234154 0.113147 -0.049948
17.7 0.882365 -0.123987 -0.232591 0.113802 -0.055655
17.8 0.886114 -0.125155 -0.230961 0.114406 -0.061332
17.9 0.889801 -0.126323 -0.229313 0.114997 -0.067002
18 0.893489 -0.127483 -0.227507 0.11547 -0.072602
18.1 0.897176 -0.128642 -0.225701 0.115942 -0.078203
18.2 0.900864 -0.129797 -0.223791 0.116337 -0.083758
18.3 0.90454 -0.130948 -0.22181 0.116678 -0.089282
18.4 0.908159 -0.132099 -0.219815 0.117009 -0.094798
18.5 0.911779 -0.133242 -0.217665 0.117221 -0.100232
18.6 0.915398 -0.134385 -0.215515 0.117434 -0.105665
18.7 0.919018 -0.135528 -0.213328 0.117605 -0.110927
18.8 0.922639 -0.13667 -0.211113 0.117743 -0.116057
18.9 0.926274 -0.137812 -0.208897 0.117879 -0.121167
19 0.929909 -0.138956 -0.206656 0.117964 -0.125916
19.1 0.933544 -0.140099 -0.204415 0.118049 -0.130665
19.2 0.937178 -0.141244 -0.202161 0.118105 -0.135207
19.3 0.940816 -0.142389 -0.199894 0.118136 -0.139574
19.4 0.944484 -0.143534 -0.197627 0.118166 -0.14393
19.5 0.948153 -0.144681 -0.195335 0.118144 -0.147916
19.6 0.951821 -0.145828 -0.193042 0.118121 -0.151902
19.7 0.95549 -0.146975 -0.190737 0.118071 -0.15569
19.8 0.959159 -0.148124 -0.188418 0.117995 -0.159294
19.9 0.962861 -0.149272 -0.1861 0.117918 -0.162896
20 0.966563 -0.150422 -0.183756 0.117788 -0.166118
20.1 0.970266 -0.151572 -0.181412 0.117658 -0.169341
20.2 0.973968 -0.152723 -0.179055 0.117502 -0.172375
20.3 0.97767 -0.153875 -0.176686 0.117319 -0.175216
20.4 0.981405 -0.155026 -0.174316 0.117135 -0.178057
20.5 0.985141 -0.156179 -0.171921 0.116899 -0.180524
20.6 0.988877 -0.157332 -0.169525 0.116661 -0.182983
20.7 0.992613 -0.158486 -0.167117 0.116399 -0.185263
20.8 0.996349 -0.159641 -0.164696 0.116108 -0.187341
20.9 1.000116 -0.160796 -0.162274 0.115817 -0.189418
21 1.003885 -0.161952 -0.159828 0.115474 -0.191131
21.1 1.007655 -0.163108 -0.157381 0.11513 -0.192827
21.2 1.011424 -0.164265 -0.154922 0.114761 -0.194354
21.3 1.015194 -0.165423 -0.152449 0.114363 -0.195668
21.4 1.018993 -0.166581 -0.149975 0.113964 -0.196983
21.5 1.022796 -0.16774 -0.147478 0.113516 -0.197942
21.6 1.0266 -0.1689 -0.144979 0.113063 -0.198874
21.7 1.030403 -0.17006 -0.142469 0.112589 -0.199648
21.8 1.034206 -0.171221 -0.139945 0.112083 -0.200199
21.9 1.038034 -0.172382 -0.13742 0.111577 -0.200749
22 1.041868 -0.173544 -0.134871 0.111022 -0.200957
22.1 1.045702 -0.174707 -0.13232 0.110461 -0.201128
22.2 1.049535 -0.175862 -0.129745 0.109859 -0.201214
22.3 1.053369 -0.177004 -0.127132 0.10919 -0.201167
22.4 1.057197 -0.178147 -0.12452 0.108522 -0.20112
22.5 1.061024 -0.179259 -0.121829 0.107722 -0.200992
22.6 1.06485 -0.180366 -0.119127 0.106904 -0.200854
22.7 1.068676 -0.18146 -0.116393 0.106032 -0.200681
22.8 1.072503 -0.182531 -0.113603 0.105064 -0.20045
