phase mean FPC1 FPC2 FPC3 FPC4
24.3 1.113208 0.165624 0.082699 0.065481 -0.153869
24.4 1.118801 0.16591 0.080128 0.064322 -0.157459
24.5 1.124395 0.166184 0.07755 0.063213 -0.160989
24.6 1.130032 0.166459 0.074973 0.062105 -0.164518
24.7 1.135705 0.16673 0.072393 0.061015 -0.168026
24.8 1.141379 0.166989 0.069808 0.059978 -0.171473
24.9 1.147053 0.167249 0.067223 0.05894 -0.174919
25 1.152726 0.167505 0.064636 0.05792 -0.178345
25.1 1.1584 0.167749 0.062042 0.056954 -0.181709
25.2 1.164113 0.167993 0.059449 0.055987 -0.185073
25.3 1.169866 0.168234 0.056854 0.055037 -0.188417
25.4 1.17562 0.168463 0.054253 0.054141 -0.191698
25.5 1.181374 0.168692 0.051652 0.053245 -0.194978
25.6 1.187128 0.168918 0.049049 0.052365 -0.198241
25.7 1.192881 0.169131 0.04644 0.05154 -0.201439
25.8 1.198667 0.169345 0.043831 0.050716 -0.204636
25.9 1.204497 0.169555 0.041224 0.049902 -0.207808
26 1.210326 0.169751 0.038625 0.049132 -0.21088
26.1 1.216156 0.169947 0.036027 0.048362 -0.213951
26.2 1.221985 0.170137 0.033444 0.04759 -0.216966
26.3 1.227814 0.170304 0.030928 0.046811 -0.219741
26.4 1.233665 0.17047 0.028412 0.046033 -0.222516
26.5 1.239552 0.170632 0.025913 0.045251 -0.225235
26.6 1.245439 0.170768 0.023488 0.044456 -0.227694
26.7 1.251327 0.170904 0.021064 0.043661 -0.230152
26.8 1.257214 0.171035 0.018654 0.042863 -0.23256
26.9 1.263101 0.17114 0.016321 0.042052 -0.234702
27 1.269005 0.171246 0.013988 0.041241 -0.236844
27.1 1.274948 0.171347 0.011668 0.040428 -0.23894
27.2 1.280891 0.171422 0.009426 0.0396 -0.240765
27.3 1.286834 0.171497 0.007184 0.038773 -0.242591
27.4 1.292777 0.171568 0.004954 0.037944 -0.244375
27.5 1.29872 0.171613 0.002804 0.0371 -0.245884
27.6 1.304677 0.171657 0.000653 0.036257 -0.247393
27.7 1.310675 0.171698 -0.001487 0.035412 -0.248866
